,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,39935.99999999999,39167.99999999999,767.9999999999999,True,
uni_inter,17.999999999999993,17.999999999999993,17.999999999999993,,True
fdiff_ind,39935.99999999999,39167.99999999999,767.9999999999999,True,
fdiff_inter,17.999999999999993,17.999999999999993,17.999999999999993,,True
fmax_ind,39935.99999999999,39167.99999999999,767.9999999999999,True,
fmax_inter,17.999999999999993,17.999999999999993,17.999999999999993,,True
fsum_ind,39935.99999999999,39167.99999999999,767.9999999999999,True,
fsum_inter,17.999999999999993,17.999999999999993,17.999999999999993,,True
buc_eq_ind,39935.99999999999,39167.99999999999,767.9999999999999,True,
buc_eq_inter,17.999999999999993,17.999999999999993,17.999999999999993,,True
buc_con_ind,33279.99999999999,32639.999999999993,639.9999999999999,True,
buc_con_inter,39.99999999999997,39.99999999999997,39.99999999999997,,True
buc_qeq_ind,39935.590421777284,39167.59713617438,767.9932856029064,True,
buc_qeq_inter,17.993285602906496,17.993285602906496,17.993285602906496,,True
buc_qsd_ind,39935.99999999999,39167.99999999999,767.9999999999999,True,
buc_qsd_inter,17.999999999999993,17.999999999999993,17.999999999999993,,True
