,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,161657.12059028866,161480.83833979705,176.28225049159946,True,
uni_inter,-21.63979284997754,-21.63979284997754,-21.63979284997754,,False
fdiff_ind,-2740.1878081480804,198.0899534344083,-2938.277761582489,False,
fdiff_inter,0.23133796490200753,0.23133796490200753,0.23133796490200753,,True
fmax_ind,158669.6049127608,158474.76900322383,194.83590953698186,True,
fmax_inter,-3.025254505728461,-3.025254505728461,-3.025254505728461,,False
fsum_ind,153044.85533179526,152848.21546068683,196.63987110842237,True,
fsum_inter,-1.2575316183000784,-1.2575316183000784,-1.2575316183000784,,False
buc_eq_ind,197.91836943757647,197.91836943757647,0.0,False,
buc_eq_inter,0.0010375438306922113,0.0010375438306922113,0.0010375438306922113,,True
buc_con_ind,58586.32964826047,58408.02466530497,178.30498295549884,True,
buc_con_inter,0.17501925937950702,0.17501925937950702,0.17501925937950702,,True
buc_qeq_ind,57005.56758656021,56807.696561292236,197.87102526797298,True,
buc_qeq_inter,0.024347772553254377,0.024347772553254377,0.024347772553254377,,True
buc_qsd_ind,87846.44327459269,87648.522644208,197.92063038468984,True,
buc_qsd_inter,0.0023290127250370496,0.0023290127250370496,0.0023290127250370496,,True
