,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,2653.462755446054,2501.221425219574,152.24133022647996,True,
uni_inter,-7.476091890970073,-7.476091890970073,-7.476091890970073,,False
fdiff_ind,319.5433877028555,159.82286021250366,159.72052749035186,True,
fdiff_inter,0.04730874695547982,0.04730874695547982,0.04730874695547982,,True
fmax_ind,2626.338910380384,2471.633045110144,154.70586527024005,True,
fmax_inter,-4.974553379754624,-4.974553379754624,-4.974553379754624,,False
fsum_ind,2479.9382925781797,2322.1232376486932,157.8150549294866,True,
fsum_inter,-1.8766503254143299,-1.8766503254143299,-1.8766503254143299,,False
buc_eq_ind,159.71423124890862,159.71423124890862,0.0,False,
buc_eq_inter,0.0010677223835955374,0.0010677223835955374,0.0010677223835955374,,True
buc_con_ind,302.878206030743,160.75673087707855,142.12147515366445,True,
buc_con_inter,0.1594874346591837,0.1594874346591837,0.1594874346591837,,True
