,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,161780.5891244389,161612.19889493086,168.3902295080479,True,
uni_inter,382.8148148148148,382.8148148148148,382.8148148148148,,True
fdiff_ind,23427.863175814782,23229.804574324866,198.0586014899173,True,
fdiff_inter,-137905.6741700472,-137905.6741700472,-137905.6741700472,,False
fmax_ind,158729.18284885483,158534.36321242296,194.81963643188527,True,
fmax_inter,-1923.7702404227693,-1923.7702404227693,-1923.7702404227693,,False
fsum_ind,161280.91163998152,161093.26802093184,187.64361904969417,True,
fsum_inter,-45.76635165705875,-45.76635165705875,-45.76635165705875,,False
buc_eq_ind,122444.22905190961,122444.19889493086,0.030156978755258024,True,
buc_eq_inter,-36266.66666666666,-36266.66666666666,-36266.66666666666,,False
buc_con_ind,150893.207033976,150816.97673198057,76.23030199545327,True,
buc_con_inter,5707.726148935764,5707.726148935764,5707.726148935764,,True
buc_qeq_ind,160744.78126051973,160588.2961167971,156.48514372260814,True,
buc_qeq_inter,380.78624373745333,380.78624373745333,380.78624373745333,,True
buc_qsd_ind,161489.858117916,161323.42711228316,166.43100563284918,True,
buc_qsd_inter,267.3657752822319,267.3657752822319,267.3657752822319,,True
