,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,6000.000000000002,3000.000000000001,3000.000000000001,True,
uni_2_inter,3000.000000000001,3000.000000000001,3000.000000000001,,True
fdiff_2_ind,6000.000000000002,3000.000000000001,3000.000000000001,True,
fdiff_2_inter,3000.000000000001,3000.000000000001,3000.000000000001,,True
fmax_2_ind,6000.000000000002,3000.000000000001,3000.000000000001,True,
fmax_2_inter,3000.0000000000027,3000.0000000000027,3000.0000000000027,,True
fsum_2_ind,6000.0,3000.0,3000.0,True,
fsum_2_inter,3000.0,3000.0,3000.0,,True
uni_3_ind,7702.862232672155,3555.5555555555575,591.7511215610402,True,
uni_3_inter,1111.1111111111113,555.5555555555557,555.5555555555557,,True
fdiff_3_ind,2643.02602905952,955.3059587957869,732.4141114679464,True,
fdiff_3_inter,-4089.3880824084304,-2044.6940412042152,-2044.6940412042152,,False
fmax_3_ind,6414.848178881813,2824.0396568186216,766.7688652445695,True,
fmax_3_inter,-351.920686362761,-175.9603431813805,-175.9603431813805,,False
fsum_3_ind,7652.238621915902,3555.5555555555575,541.1275108047864,True,
fsum_3_inter,1111.1111111111118,555.5555555555559,555.5555555555559,,True
uni_4_ind,23984.543963129385,15812.479248479152,706.1932185848515,True,
uni_4_inter,367.59782403904023,177.38019247713322,12.837439084773791,,True
fdiff_4_ind,5131.605134431968,1697.3177691362143,1071.5063053156364,True,
fdiff_4_inter,689.6566782971985,237.48753590865263,226.08457119427294,,True
fmax_4_ind,1328.68662759969,2048.440605646679,-3749.489148262721,False,
fmax_4_inter,-1438.2770609584363,112.92104138544568,-775.599051171941,,False
fsum_4_ind,23587.801828007367,15336.705886110089,1074.121955980202,True,
fsum_4_inter,497.25266204234003,431.3897872363783,32.93143740298086,,True
uni_5_ind,24929.57447130652,16268.13039133735,124.58487822961558,True,
uni_5_inter,821.1713717748112,380.4598960581675,102.24923069704701,,True
fdiff_5_ind,2127.212899407977,2928.5548615221674,-5054.605767672667,False,
fdiff_5_inter,-3254.0537658658936,1747.164331532109,-6827.114783608911,,False
fmax_5_ind,5587.035589242924,2348.982038599437,-256.20837358700373,False,
fmax_5_inter,4137.7723413907415,3418.089527875687,118.5999476095389,,True
fsum_5_ind,24633.55464593907,15819.506630642352,223.3212909594261,True,
fsum_5_inter,823.1572687995679,407.6094977322341,4.447076223203396,,True
uni_6_ind,47455.3263748936,22361.111111111113,117.67767908528322,True,
uni_6_inter,-252.10433505493143,373.24618445607484,-388.3791699146565,,False
fdiff_6_ind,12654.72433239034,4794.4477964970065,567.7717636803345,True,
fdiff_6_inter,5316.31850895446,6149.182156105058,-401.20407544312025,,False
fmax_6_ind,19205.509297218832,7938.279401750295,567.615064104534,True,
fmax_6_inter,5263.449178694716,4459.35016262281,42.4285460479059,,True
fsum_6_ind,47052.43653816001,21605.378405351803,609.049232982632,True,
fsum_6_inter,396.7583593382377,217.13905040720556,4.255971252881814,,True
uni_7_ind,49191.63015554582,22530.612244897962,123.50155014314765,True,
uni_7_inter,710.4308390022671,169.50113378684796,29.478458049886598,,True
fdiff_7_ind,14679.60856896139,4118.200127319327,417.1129605612332,True,
fdiff_7_inter,645.2096677359004,1022.378703591504,-714.8260002590232,,False
fmax_7_ind,31953.56492022598,13507.702859310084,402.56750358762633,True,
fmax_7_inter,11331.05476506476,5569.423457559789,-27.900910032822054,,False
fsum_7_ind,48826.93095466839,21720.309791174088,492.80159066275365,True,
fsum_7_inter,339.9403651999052,197.4943415858313,-25.895411417451157,,False
uni_8_ind,66657.85570642806,22510.57852293026,106.89807990484408,True,
uni_8_inter,991.4868813618575,322.9543976900691,-20.03372196769527,,False
fdiff_8_ind,15650.48562407077,4041.397739541473,194.669519257728,True,
fdiff_8_inter,662.6545026556917,316.0075139236724,-76.80238777784689,,False
fmax_8_ind,46879.18806054801,15915.376348251171,-93.45346470403939,False,
fmax_8_inter,4392.66852450334,2407.6734889410936,-191.25157313105456,,False
fsum_8_ind,65666.87356654256,21894.3537680906,193.35478260907087,True,
fsum_8_inter,637.8473313999863,355.49060748215845,5.32258710692841,,True
uni_9_ind,71619.90768100043,22614.214671246027,770.7358461029512,True,
uni_9_inter,390.07285418852024,103.6361483157662,16.34771605665074,,True
fdiff_9_ind,21476.969947755144,4761.886333511447,847.8035425167747,True,
fdiff_9_inter,1622.7394721326464,720.4885939699743,-135.2199463412445,,False
fmax_9_ind,54315.66365417634,16979.246188912275,650.6832726300793,True,
fmax_9_inter,3418.8069883148955,1063.8698406611038,14.354531560725249,,True
fsum_9_ind,71085.76585184193,22194.816667962754,830.8025693074176,True,
fsum_9_inter,859.680561992734,300.4628998721505,-2.8780820307748662,,False
uni_10_ind,93599.42460811458,22704.109722782352,138.53214460932753,True,
uni_10_inter,283.4641183051888,86.95310666036482,3.5915332906193385,,True
fdiff_10_ind,27283.727030304024,5530.22623779405,206.50579833229435,True,
fdiff_10_inter,1284.5877587282162,692.5676377501586,-5.502509400237252,,False
fmax_10_ind,74096.33838585002,17821.946494460433,118.18515598769763,True,
fmax_10_inter,2966.7851511866256,812.7240365867565,8.455511052559842,,True
fsum_10_ind,93086.61292157113,22499.152363417932,192.22177510833185,True,
fsum_10_inter,509.75162028464376,292.7244702170568,-2.78555941484262,,False
