,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,34499.99999999999,17249.999999999996,17249.999999999996,True,
uni_2_inter,17249.999999999996,17249.999999999996,17249.999999999996,,True
fdiff_2_ind,34499.99999999999,17249.999999999996,17249.999999999996,True,
fdiff_2_inter,17249.999999999996,17249.999999999996,17249.999999999996,,True
fmax_2_ind,34499.99999999999,17249.999999999996,17249.999999999996,True,
fmax_2_inter,17249.999999999996,17249.999999999996,17249.999999999996,,True
fsum_2_ind,35690.297796786275,17845.148898393138,17845.148898393138,True,
fsum_2_inter,15633.428058420617,15633.428058420617,15633.428058420617,,True
uni_3_ind,61333.33333333334,20444.44444444445,20444.44444444445,True,
uni_3_inter,6388.888888888887,3194.4444444444434,3194.4444444444434,,True
fdiff_3_ind,61333.33333333334,20444.44444444445,20444.44444444445,True,
fdiff_3_inter,6388.888888888887,3194.4444444444434,3194.4444444444434,,True
fmax_3_ind,-76516.82728031665,-25505.60909343888,-25505.60909343888,False,
fmax_3_inter,-85511.21818687777,-42755.609093438885,-42755.609093438885,,False
fsum_3_ind,62125.66114217762,20708.553714059206,20708.553714059206,True,
fsum_3_inter,5726.809631332119,2863.4048156660597,2863.4048156660597,,True
uni_4_ind,86249.99999999999,21562.499999999996,21562.499999999996,True,
uni_4_inter,3354.166666666668,1118.0555555555559,1118.0555555555559,,True
fdiff_4_ind,86249.99999999999,21562.499999999996,21562.499999999996,True,
fdiff_4_inter,3354.166666666668,1118.0555555555559,1118.0555555555559,,True
fmax_4_ind,-14537.235406773441,-3634.3088516933603,-3634.3088516933603,False,
fmax_4_inter,65613.90072523658,21871.30024174553,21871.30024174553,,True
fsum_4_ind,86841.53577262948,21710.38394315737,21710.38394315737,True,
fsum_4_inter,3005.4906872945116,1001.8302290981705,1001.8302290981705,,True
uni_5_ind,92159.99999999999,22079.999999999996,3840.000000000001,True,
uni_5_inter,2069.999999999999,517.4999999999998,517.4999999999998,,True
fdiff_5_ind,41030.17391183062,9297.543477957655,3840.000000000001,True,
fdiff_5_inter,-49059.826088169364,-12264.956522042341,-12264.956522042341,,False
fmax_5_ind,28167.720862788683,6678.9915072656095,1451.754833726246,True,
fmax_5_inter,41253.20143583588,10313.30035895897,10313.30035895897,,True
fsum_5_ind,92531.94648854842,22172.986622137105,3840.000000000001,True,
fsum_5_inter,1850.410715918948,462.602678979737,462.602678979737,,True
uni_6_ind,110004.21991047627,22361.111111111113,3888.888888888891,True,
uni_6_inter,1173.3333333333333,281.1111111111111,48.888888888888886,,True
fdiff_6_ind,65266.12064251884,13211.313019112256,3888.888888888891,True,
fdiff_6_inter,15703.967053507264,3913.7695411545938,48.88888888888893,,True
fmax_6_ind,51181.17067749282,10797.120682592133,1922.228645168443,True,
fmax_6_inter,16942.99051274826,4118.129175326516,470.4738114421957,,True
fsum_6_ind,110327.42060256418,22425.73270576398,3888.888888888891,True,
fsum_6_inter,1059.873223396369,252.74608362687002,48.8888888888889,,True
uni_7_ind,133306.08245338988,22530.612244897962,3918.3673469387795,True,
uni_7_inter,876.9841269841264,169.50113378684796,29.478458049886598,,True
fdiff_7_ind,93533.03814042751,15770.88823561967,3918.3673469387795,True,
fdiff_7_inter,12601.763091257462,2559.5752165074127,29.47845804988667,,True
fmax_7_ind,80762.2705106002,13877.940045120475,2413.550929270834,True,
fmax_7_inter,15808.893616955387,3080.819362528342,491.3222841023892,,True
fsum_7_ind,133471.49829582724,22558.107839423534,3918.3673469387795,True,
fsum_7_inter,691.7036828080101,132.72469011991507,29.478458049886612,,True
uni_8_ind,134047.17873280114,22640.624999999996,-85.64516102382586,False,
uni_8_inter,679.2091836734705,110.01275510204101,19.132653061224524,,True
fdiff_8_ind,28691.41633862907,4802.239551107406,202.87453094237011,True,
fdiff_8_inter,-65192.0285895024,-407.0779945474661,-10968.648684512256,,False
fmax_8_ind,91155.66004796764,15435.533614568003,0.4990365609192793,True,
fmax_8_inter,10245.358244044926,1557.5935694475356,926.1796121249223,,True
fsum_8_ind,133316.75415726443,22471.273557138138,170.6275380979323,True,
fsum_8_inter,-472.9039334223675,15.02985562375558,-86.83428228538975,,False
uni_9_ind,157316.10401555288,22716.049382716046,148.0094689358372,True,
uni_9_inter,529.2824074074073,75.42438271604937,13.117283950617278,,True
fdiff_9_ind,32404.798448090944,4609.681198156839,371.95816912820254,True,
fdiff_9_inter,-919.8925813232498,93.64211055977995,-192.5583529505675,,False
fmax_9_ind,119881.22573699548,17332.27650822043,214.80161690748423,True,
fmax_9_inter,11369.695688179121,1896.7428936524293,44.26677754739569,,True
fsum_9_ind,156558.68359091668,22575.239884012437,349.25989308040425,True,
fsum_9_inter,643.0960570115323,103.96632687429917,8.596552183302705,,True
uni_10_ind,157821.6848726032,22769.999999999996,49.447983984332865,True,
uni_10_inter,432.5432098765429,53.95061728395058,9.382716049382715,,True
fdiff_10_ind,64554.671516195536,9204.558377105219,233.61996688041052,True,
fdiff_10_inter,31892.663438034742,4594.87717894838,5.729455543218425,,True
fmax_10_ind,126515.15246749765,18248.907438191833,141.73908973650305,True,
fmax_10_inter,6468.597977576244,916.6309299714003,42.42363170205698,,True
fsum_10_ind,156953.48718772153,22591.77284890038,224.3384385857888,True,
fsum_10_inter,146.8754950296337,20.07637752867538,8.45512487691746,,True
