,fdiff,fmax,fsum,ind,uni
total_errors,77639.86765443243,24376.213625471464,2654.7393956622936,118003.58551096369,1925.0
max_distances,7328.525271859728,18219.735572628582,22491.23667286252,0.0,22769.999999999996
min_distances,313.8461016313864,249.046820194461,306.80864618253844,0.0,127.70734338472913
max_ratio_distances,0.9894343251825715,0.9693418797841293,0.9882554027559682,0.0,0.99
min_ratio_distances,0.23676887749201295,0.7686339998215567,0.9503890638153254,0.0,0.34994576959877965
gini_coefficients,0.45577286875209555,0.23084859735106156,0.20890709860186757,0.0,0.683427298763338
total_errors_p5,,,,,
max_distances_p5,,,,,
min_distances_p5,,,,,
max_ratio_distances_p5,,,,,
min_ratio_distances_p5,,,,,
gini_coefficients_p5,,,,,
total_errors_p95,,,,,
max_distances_p95,,,,,
min_distances_p95,,,,,
max_ratio_distances_p95,,,,,
min_ratio_distances_p95,,,,,
gini_coefficients_p95,,,,,
