,fdiff,fmax,fsum,ind,uni
total_errors,13017.528510497312,7178.282663658722,1811.4744495693278,112631.69546372036,1469.2700192046336
max_distances,28681.75904831236,30054.174121935637,31362.340124805058,0.0,31509.455820802395
min_distances,278.17618837720045,279.15798731514985,281.3764855781617,0.0,261.5213057950885
max_ratio_distances,0.9886216656881238,0.9723180391412836,0.9893471192570097,0.0,0.9898426426708985
min_ratio_distances,0.8006091240187754,0.9156935857301128,0.9630739094468878,0.0,0.855559941025923
gini_coefficients,0.27248904406809815,0.18335940676352547,0.18537644094197075,0.0,0.48943283059734977
total_errors_p5,,,,,
max_distances_p5,,,,,
min_distances_p5,,,,,
max_ratio_distances_p5,,,,,
min_ratio_distances_p5,,,,,
gini_coefficients_p5,,,,,
total_errors_p95,,,,,
max_distances_p95,,,,,
min_distances_p95,,,,,
max_ratio_distances_p95,,,,,
min_ratio_distances_p95,,,,,
gini_coefficients_p95,,,,,
