Age Code	Projected Populations
0	4128810
1	4124893
2	4117546
3	4105953
4	4090466
5	4072931
6	4054223
7	4034013
8	4042721
9	4070166
10	4067620
11	4068032
12	4196748
13	4217296
14	4185129
15	4177122
16	4194869
17	4179678
18	4184462
19	4311668
20	4403530
21	4364440
22	4392370
23	4425203
24	4473535
25	4574175
26	4664809
27	4728430
28	4840005
29	4914688
30	4896022
31	4701019
32	4582250
33	4493109
34	4495429
35	4514395
36	4364769
37	4417335
38	4408829
39	4354386
40	4429801
41	4156571
42	4067456
43	4019149
44	3895079
45	4003458
46	3873521
47	3922567
48	4090426
49	4314094
50	4358707
51	4126662
52	4031423
53	4028282
54	4092796
55	4326044
56	4396170
57	4382476
58	4365454
59	4408445
60	4432530
61	4274945
62	4237881
63	4178808
64	4016612
65	3966233
66	3789297
67	3628018
68	3469447
69	3340564
70	3236263
71	3119271
72	3062583
73	3157161
74	2306337
75	2245438
76	2160559
77	2175819
78	1862778
79	1667895
80	1541732
81	1414139
82	1315607
83	1174422
84	1080934
85	994426
86	852847
87	782713
88	705181
89	629065
90	560811
91	466826
92	399945
93	330997
94	264984
95	212972
96	163471
97	121167
98	88922
99	62735
100	89468
